z,residual
3.048000000000000015e-02,-1.319910516568111092e+00
3.049999999999999933e-02,-6.061131142810921579e-01
3.053000000000000158e-02,-4.079594309220929693e-01
3.072000000000000078e-02,9.282818874780738305e-01
3.072000000000000078e-02,-4.388041207104518837e-01
3.072000000000000078e-02,-5.711157865508217357e-01
3.074999999999999956e-02,2.156458862280202782e-01
3.081000000000000058e-02,8.732770416842844385e-01
3.081000000000000058e-02,6.744789042084948782e-01
3.081000000000000058e-02,4.590702836761969552e-01
3.081000000000000058e-02,6.724399280145599844e-01
3.092999999999999916e-02,-4.460784560130829357e-01
3.092999999999999916e-02,-1.285742996496139767e-01
3.099000000000000019e-02,-6.380888509331545944e-01
3.107000000000000040e-02,3.931440965288643397e-01
3.107000000000000040e-02,-1.946484396557389696e-01
3.107000000000000040e-02,3.527285621892876644e-01
3.123000000000000081e-02,1.181460886319858350e+00
3.132000000000000062e-02,-4.132605241280160047e-02
3.135999999999999899e-02,2.447220712908277362e-01
3.141000000000000042e-02,-5.988005020962551272e-01
3.141000000000000042e-02,-1.463636235259642149e-01
3.141000000000000042e-02,-7.604620426509617337e-01
3.155999999999999778e-02,3.200348722714516092e-01
3.157999999999999696e-02,-8.303433215400307654e-01
3.173999999999999738e-02,2.489812729138474734e-01
3.182999999999999718e-02,1.316726329149701114e+00
3.182999999999999718e-02,1.276046683967078377e-01
3.189000000000000168e-02,1.379871509878461522e+00
3.200999999999999679e-02,-3.409267333050936544e-01
3.207000000000000128e-02,-6.812204737033176194e-01
3.212000000000000272e-02,7.939384382287302255e-01
3.212000000000000272e-02,7.025263792257160356e-01
3.212000000000000272e-02,4.824332095154796884e-01
3.212000000000000272e-02,4.554220859975677826e-01
3.241000000000000131e-02,4.517802485167287108e-01
3.241000000000000131e-02,3.179595595615404835e-01
3.241000000000000131e-02,5.354117833296280216e-01
3.244999999999999968e-02,-6.054957283282640101e-02
3.244999999999999968e-02,3.281020680280345991e-01
3.246000000000000274e-02,-6.616286812856937705e-02
3.246000000000000274e-02,-2.209164625283068784e-01
3.246000000000000274e-02,-2.090313999272351564e-01
3.250000000000000111e-02,2.522272601353403032e-01
3.250000000000000111e-02,9.472710779575029827e-01
3.264000000000000234e-02,-6.801851944812679074e-01
3.278999999999999970e-02,1.757345348029897558e-01
3.291999999999999788e-02,1.055005991058501014e+00
3.291999999999999788e-02,1.017916776832789916e+00
3.309000000000000136e-02,3.934845136065084348e-01
3.309999999999999748e-02,1.079870912070604927e+00
3.314000000000000279e-02,-6.179122729288766269e-01
3.316000000000000197e-02,1.239989673277145821e+00
3.323000000000000259e-02,3.911233358677057570e-01
3.336000000000000076e-02,4.069468923233492963e-01
3.336999999999999689e-02,5.737184087085712703e-01
3.343999999999999750e-02,3.242526410616427546e-01
3.350999999999999812e-02,1.007582807333795571e+00
3.352000000000000118e-02,8.351538377578208161e-01
3.352000000000000118e-02,9.096531659333964015e-01
3.368999999999999773e-02,9.180290524741122060e-02
3.368999999999999773e-02,9.743888833318944953e-02
3.370000000000000079e-02,-6.106531695807163596e-01
3.370000000000000079e-02,6.093863054742301166e-01
3.409999999999999837e-02,3.540687272801225638e-01
3.432000000000000328e-02,-1.257435109754660996e-01
3.445000000000000145e-02,3.234400349248218731e-01
3.481000000000000066e-02,-6.090932223688708680e-01
3.491999999999999965e-02,2.655630611416445741e-01
3.495000000000000190e-02,5.353873480975138710e-01
3.495000000000000190e-02,1.371819724611888169e+00
3.497000000000000108e-02,-1.471811760018996301e-02
3.500999999999999945e-02,-1.423530693287919702e+00
3.518000000000000294e-02,3.664391913531484524e-01
3.533000000000000029e-02,-1.104665829341616723e-01
3.542000000000000010e-02,1.940559937837339488e+00
3.543999999999999928e-02,-4.899286107649743899e-02
3.563999999999999807e-02,2.468588624591507297e-01
3.565000000000000113e-02,-4.561024615994210829e-01
3.574000000000000093e-02,2.539381417917221245e-02
3.577000000000000318e-02,6.116340708017846683e-01
3.588999999999999829e-02,-1.468471681216054203e-01
3.590999999999999748e-02,3.890576333008020637e-01
3.592000000000000054e-02,4.881964349761274691e-01
3.602000000000000340e-02,1.488899321054763414e+00
3.615999999999999770e-02,8.864182508343687594e-01
3.626999999999999669e-02,6.329038980067847042e-01
3.626999999999999669e-02,4.798211133387083605e-01
3.631000000000000200e-02,-3.828439209461644843e-01
3.631000000000000200e-02,1.607845065235186804e-02
3.638999999999999874e-02,7.812299785713183731e-02
3.640999999999999792e-02,8.004548904280045507e-01
3.642999999999999711e-02,-1.744963371812567610e-02
3.642999999999999711e-02,-2.557013037737441707e-01
